date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths,avg7_new_cases,avg7_new_deaths
2020-01-25,Nepal,1.0,,1.0,,,,,,,
2020-01-26,Nepal,0.0,,1.0,,,,,,,
2020-01-27,Nepal,0.0,,1.0,,,,,,,
2020-01-28,Nepal,0.0,,1.0,,,,,,,
2020-01-29,Nepal,0.0,,1.0,,,,,,,
2020-01-30,Nepal,0.0,,1.0,,1.0,0.0,,,,
2020-01-31,Nepal,0.0,,1.0,,1.0,0.0,,,0.14285714285714285,
2020-02-01,Nepal,0.0,,1.0,,0.0,0.0,,,0.0,
2020-02-02,Nepal,0.0,,1.0,,0.0,0.0,,,0.0,
2020-02-03,Nepal,0.0,,1.0,,0.0,0.0,,,0.0,
2020-02-04,Nepal,0.0,,1.0,,0.0,0.0,,,0.0,
2020-02-05,Nepal,0.0,,1.0,,0.0,0.0,,,0.0,
2020-02-06,Nepal,0.0,,1.0,,0.0,0.0,1.0,0.0,0.0,
2020-02-07,Nepal,0.0,,1.0,,0.0,0.0,1.0,0.0,0.0,
2020-02-08,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-09,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-10,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-11,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-12,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-13,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-14,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-15,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-16,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-17,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-18,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-19,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-20,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-21,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-22,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-23,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-24,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-25,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-26,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-27,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-28,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-02-29,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-01,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-02,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-03,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-04,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-05,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-06,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-07,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-08,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-09,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-10,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-11,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-12,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-13,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-14,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-15,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-16,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-17,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-18,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-19,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-20,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-21,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-22,Nepal,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,
2020-03-23,Nepal,1.0,,2.0,,1.0,0.0,1.0,0.0,0.14285714285714285,
2020-03-24,Nepal,0.0,,2.0,,1.0,0.0,1.0,0.0,0.14285714285714285,
2020-03-25,Nepal,1.0,,3.0,,2.0,0.0,2.0,0.0,0.2857142857142857,
2020-03-26,Nepal,0.0,,3.0,,2.0,0.0,2.0,0.0,0.2857142857142857,
2020-03-27,Nepal,1.0,,4.0,,3.0,0.0,3.0,0.0,0.42857142857142855,
2020-03-28,Nepal,1.0,,5.0,,4.0,0.0,4.0,0.0,0.5714285714285714,
2020-03-29,Nepal,0.0,,5.0,,4.0,0.0,4.0,0.0,0.5714285714285714,
2020-03-30,Nepal,0.0,,5.0,,3.0,0.0,4.0,0.0,0.42857142857142855,
2020-03-31,Nepal,0.0,,5.0,,3.0,0.0,4.0,0.0,0.42857142857142855,
2020-04-01,Nepal,0.0,,5.0,,2.0,0.0,4.0,0.0,0.2857142857142857,
2020-04-02,Nepal,1.0,,6.0,,3.0,0.0,5.0,0.0,0.42857142857142855,
2020-04-03,Nepal,0.0,,6.0,,2.0,0.0,5.0,0.0,0.2857142857142857,
2020-04-04,Nepal,3.0,,9.0,,4.0,0.0,8.0,0.0,0.5714285714285714,
2020-04-05,Nepal,0.0,,9.0,,4.0,0.0,8.0,0.0,0.5714285714285714,
2020-04-06,Nepal,0.0,,9.0,,4.0,0.0,7.0,0.0,0.5714285714285714,
2020-04-07,Nepal,0.0,,9.0,,4.0,0.0,7.0,0.0,0.5714285714285714,
2020-04-08,Nepal,0.0,,9.0,,4.0,0.0,6.0,0.0,0.5714285714285714,
2020-04-09,Nepal,0.0,,9.0,,3.0,0.0,6.0,0.0,0.42857142857142855,
2020-04-10,Nepal,0.0,,9.0,,3.0,0.0,5.0,0.0,0.42857142857142855,
2020-04-11,Nepal,0.0,,9.0,,0.0,0.0,4.0,0.0,0.0,
2020-04-12,Nepal,3.0,,12.0,,3.0,0.0,7.0,0.0,0.42857142857142855,
2020-04-13,Nepal,2.0,,14.0,,5.0,0.0,9.0,0.0,0.7142857142857143,
2020-04-14,Nepal,2.0,,16.0,,7.0,0.0,11.0,0.0,1.0,
2020-04-15,Nepal,0.0,,16.0,,7.0,0.0,11.0,0.0,1.0,
2020-04-16,Nepal,0.0,,16.0,,7.0,0.0,10.0,0.0,1.0,
2020-04-17,Nepal,14.0,,30.0,,21.0,0.0,24.0,0.0,3.0,
2020-04-18,Nepal,1.0,,31.0,,22.0,0.0,22.0,0.0,3.142857142857143,
2020-04-19,Nepal,0.0,,31.0,,19.0,0.0,22.0,0.0,2.7142857142857144,
2020-04-20,Nepal,0.0,,31.0,,17.0,0.0,22.0,0.0,2.4285714285714284,
2020-04-21,Nepal,12.0,,43.0,,27.0,0.0,34.0,0.0,3.857142857142857,
2020-04-22,Nepal,2.0,,45.0,,29.0,0.0,36.0,0.0,4.142857142857143,
2020-04-23,Nepal,3.0,,48.0,,32.0,0.0,39.0,0.0,4.571428571428571,
2020-04-24,Nepal,1.0,,49.0,,19.0,0.0,40.0,0.0,2.7142857142857144,
2020-04-25,Nepal,0.0,,49.0,,18.0,0.0,40.0,0.0,2.5714285714285716,
2020-04-26,Nepal,3.0,,52.0,,21.0,0.0,40.0,0.0,3.0,
2020-04-27,Nepal,0.0,,52.0,,21.0,0.0,38.0,0.0,3.0,
2020-04-28,Nepal,2.0,,54.0,,11.0,0.0,38.0,0.0,1.5714285714285714,
2020-04-29,Nepal,3.0,,57.0,,12.0,0.0,41.0,0.0,1.7142857142857142,
2020-04-30,Nepal,0.0,,57.0,,9.0,0.0,41.0,0.0,1.2857142857142858,
2020-05-01,Nepal,2.0,,59.0,,10.0,0.0,29.0,0.0,1.4285714285714286,
2020-05-02,Nepal,0.0,,59.0,,10.0,0.0,28.0,0.0,1.4285714285714286,
2020-05-03,Nepal,16.0,,75.0,,23.0,0.0,44.0,0.0,3.2857142857142856,
2020-05-04,Nepal,0.0,,75.0,,23.0,0.0,44.0,0.0,3.2857142857142856,
2020-05-05,Nepal,7.0,,82.0,,28.0,0.0,39.0,0.0,4.0,
2020-05-06,Nepal,17.0,,99.0,,42.0,0.0,54.0,0.0,6.0,
2020-05-07,Nepal,2.0,,101.0,,44.0,0.0,53.0,0.0,6.285714285714286,
2020-05-08,Nepal,1.0,,102.0,,43.0,0.0,53.0,0.0,6.142857142857143,
2020-05-09,Nepal,8.0,,110.0,,51.0,0.0,61.0,0.0,7.285714285714286,
2020-05-10,Nepal,0.0,,110.0,,35.0,0.0,58.0,0.0,5.0,
2020-05-11,Nepal,24.0,,134.0,,59.0,0.0,82.0,0.0,8.428571428571429,
2020-05-12,Nepal,83.0,,217.0,,135.0,0.0,163.0,0.0,19.285714285714285,
2020-05-13,Nepal,33.0,,250.0,,151.0,0.0,193.0,0.0,21.571428571428573,
2020-05-14,Nepal,-1.0,,249.0,,148.0,0.0,192.0,0.0,21.142857142857142,
2020-05-15,Nepal,18.0,,267.0,,165.0,0.0,208.0,0.0,23.571428571428573,
2020-05-16,Nepal,24.0,1.0,291.0,1.0,181.0,1.0,232.0,1.0,25.857142857142858,
